Date,videoid,Views,Avg_duration,Earnings,vidviews,likes,dislikes,comments,startdate,daysactive
9/4/12,16a,5,2.53,0,11263,74,1,13,11/9/09,1230
9/4/12,UsefulTrick,4,0.78,0,2452,21,2,4,7/16/10,981
9/4/12,11a,33,3.63,0.54,47383,259,13,57,10/13/09,1257
9/4/12,R14,1,10.51,0,800,7,0,0,4/19/11,704
9/4/12,E17,1,0.49,0,8616,47,0,15,12/29/10,815
9/4/12,1b,10,1.85,0.02,6164,60,0,4,2/19/11,763
9/4/12,26,16,2.54,0,24375,73,7,17,2/21/10,1126
9/4/12,R9,4,1.98,0.03,3544,8,0,12,4/10/11,713
9/4/12,E19,4,4.47,0.01,3170,21,1,9,1/7/11,806
9/4/12,Reg3,4,2.56,0,9166,26,0,6,9/20/09,1280
9/4/12,3,5,0.65,0,10818,110,0,18,9/12/09,1288
9/4/12,R10,8,2.88,0,4778,34,0,5,3/29/11,725
9/4/12,4,9,3.56,0,11754,56,3,12,9/19/09,1281
9/4/12,43,24,4.41,0.08,25256,292,4,33,11/7/10,867
9/4/12,R2,15,4.2,0,4602,38,0,2,2/23/11,759
9/4/12,2,16,5.02,0.02,23780,231,6,44,9/11/09,1289
9/4/12,24a,11,3.06,0.02,18345,100,2,31,2/8/10,1139
9/4/12,35,24,3.86,0.27,27407,141,4,48,6/14/10,1013
9/4/12,R7,8,2.38,0.14,1609,10,0,1,3/7/11,747
9/4/12,6a,23,3.03,0.01,30852,163,3,28,9/27/09,1273
9/4/12,9c,7,2.54,0.01,12330,181,3,17,12/29/10,815
9/4/12,R8,11,1.95,0.01,1796,17,0,1,4/9/11,714
9/4/12,17a,30,2.81,0.15,43539,246,6,44,11/19/09,1220
9/4/12,10,66,2.84,0.12,67029,490,10,63,10/13/09,1257
9/4/12,11,13,5.03,0.03,25380,151,2,45,10/13/09,1257
9/4/12,15a,5,2.17,0,5521,24,0,5,11/3/09,1236
9/4/12,39,6,5.6,0,11422,96,2,32,8/16/10,950
9/5/12,R6,4,2.97,0,2189,10,0,2,3/3/11,751
9/5/12,20,8,4.25,0,29020,113,8,15,1/15/10,1163
9/5/12,E16,6,1.33,0.01,6818,30,0,3,12/29/10,815
9/5/12,18,38,2.24,0.31,29105,129,5,27,1/7/10,1171
9/5/12,30,5,1.41,0.03,8820,75,1,10,3/27/10,1092
9/5/12,37,14,4.02,0.11,21085,211,1,32,8/6/10,960
9/5/12,9a,10,4.66,0,15061,129,0,25,10/6/09,1264
9/5/12,E18,3,4.97,0,6502,31,1,10,12/31/10,813
9/5/12,13,8,2.26,0.02,12242,79,0,9,10/27/09,1243
9/5/12,29a,5,1.31,0,9318,37,0,6,3/27/10,1092
9/5/12,E12,3,2.46,0.18,2600,17,0,1,12/27/10,817
9/5/12,33,9,6.21,0,13834,52,2,14,6/7/10,1020
9/5/12,36,5,0.56,0,5888,30,1,5,7/9/10,988
9/5/12,Sunk,8,1.29,0,5532,26,0,3,7/16/10,981
9/5/12,R3,6,0.94,0.13,2805,18,0,0,2/25/11,757
9/5/12,R8,0,0,0,1796,17,0,1,4/9/11,714
9/5/12,11,23,2.69,0,25380,151,2,45,10/13/09,1257
9/5/12,32,4,0.28,0,13032,87,0,11,6/7/10,1020
9/5/12,34,11,3.44,0,10359,35,1,9,6/7/10,1020
